Občina,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 let ali več,Skupaj,month,year
AJDOVŠČINA,53.0,86.0,157.0,113.0,111.0,179.0,699.0,JAN,2018
ANKARAN,3.0,16.0,24.0,29.0,14.0,35.0,121.0,JAN,2018
APAČE,21.0,23.0,44.0,38.0,35.0,58.0,219.0,JAN,2018
BELTINCI,67.0,53.0,111.0,107.0,102.0,149.0,589.0,JAN,2018
BENEDIKT,11.0,9.0,19.0,15.0,7.0,26.0,87.0,JAN,2018
BISTRICA OB SOTLI,4.0,4.0,13.0,15.0,4.0,9.0,49.0,JAN,2018
BLED,17.0,40.0,41.0,45.0,20.0,62.0,225.0,JAN,2018
BLOKE,7.0,8.0,8.0,9.0,7.0,26.0,65.0,JAN,2018
BOHINJ,8.0,16.0,30.0,29.0,18.0,36.0,137.0,JAN,2018
BOROVNICA,11.0,19.0,42.0,40.0,21.0,60.0,193.0,JAN,2018
BOVEC,3.0,6.0,20.0,21.0,10.0,41.0,101.0,JAN,2018
BRASLOVČE,22.0,26.0,41.0,33.0,30.0,51.0,203.0,JAN,2018
BRDA,11.0,23.0,36.0,22.0,11.0,30.0,133.0,JAN,2018
BREZOVICA,26.0,44.0,83.0,80.0,59.0,106.0,398.0,JAN,2018
BREŽICE,84.0,130.0,194.0,243.0,167.0,340.0,1158.0,JAN,2018
CANKOVA,15.0,11.0,23.0,29.0,24.0,38.0,140.0,JAN,2018
CELJE,165.0,301.0,666.0,585.0,364.0,733.0,2814.0,JAN,2018
CERKLJE NA GORENJSKEM,13.0,26.0,49.0,28.0,22.0,51.0,189.0,JAN,2018
CERKNICA,31.0,54.0,86.0,78.0,49.0,146.0,444.0,JAN,2018
CERKNO,9.0,10.0,20.0,17.0,4.0,20.0,80.0,JAN,2018
CERKVENJAK,8.0,6.0,13.0,10.0,9.0,14.0,60.0,JAN,2018
CIRKULANE,11.0,9.0,16.0,20.0,13.0,26.0,95.0,JAN,2018
ČRENŠOVCI,51.0,33.0,57.0,46.0,41.0,89.0,317.0,JAN,2018
ČRNA NA KOROŠKEM,14.0,13.0,28.0,15.0,16.0,17.0,103.0,JAN,2018
ČRNOMELJ,99.0,76.0,158.0,151.0,117.0,276.0,877.0,JAN,2018
DESTRNIK,12.0,10.0,18.0,14.0,12.0,16.0,82.0,JAN,2018
DIVAČA,12.0,21.0,31.0,23.0,25.0,50.0,162.0,JAN,2018
DOBJE,3.0,3.0,13.0,4.0,5.0,8.0,36.0,JAN,2018
DOBREPOLJE,6.0,11.0,29.0,23.0,16.0,37.0,122.0,JAN,2018
DOBRNA,7.0,9.0,17.0,6.0,8.0,14.0,61.0,JAN,2018
DOBROVA-POLHOV GRADEC,12.0,31.0,30.0,45.0,24.0,51.0,193.0,JAN,2018
DOBROVNIK,8.0,16.0,20.0,25.0,16.0,33.0,118.0,JAN,2018
DOL PRI LJUBLJANI,10.0,31.0,38.0,36.0,26.0,67.0,208.0,JAN,2018
DOLENJSKE TOPLICE,8.0,8.0,8.0,15.0,11.0,29.0,79.0,JAN,2018
DOMŽALE,70.0,123.0,248.0,260.0,141.0,314.0,1156.0,JAN,2018
DORNAVA,8.0,8.0,17.0,20.0,11.0,11.0,75.0,JAN,2018
DRAVOGRAD,39.0,35.0,79.0,68.0,51.0,74.0,346.0,JAN,2018
DUPLEK,32.0,34.0,64.0,55.0,39.0,93.0,317.0,JAN,2018
GORENJA VAS-POLJANE,21.0,20.0,17.0,17.0,19.0,42.0,136.0,JAN,2018
GORIŠNICA,16.0,14.0,36.0,22.0,16.0,39.0,143.0,JAN,2018
GORJE,5.0,7.0,26.0,20.0,6.0,22.0,86.0,JAN,2018
GORNJA RADGONA,51.0,42.0,110.0,94.0,71.0,146.0,514.0,JAN,2018
GORNJI GRAD,12.0,11.0,20.0,14.0,8.0,15.0,80.0,JAN,2018
GORNJI PETROVCI,9.0,12.0,23.0,27.0,16.0,46.0,133.0,JAN,2018
GRAD,9.0,10.0,19.0,24.0,21.0,38.0,121.0,JAN,2018
GROSUPLJE,89.0,79.0,183.0,152.0,84.0,193.0,780.0,JAN,2018
HAJDINA,18.0,20.0,26.0,19.0,12.0,37.0,132.0,JAN,2018
HOČE-SLIVNICA,55.0,58.0,107.0,100.0,70.0,149.0,539.0,JAN,2018
HODOŠ,1.0,4.0,1.0,0.0,4.0,4.0,14.0,JAN,2018
HORJUL,7.0,16.0,14.0,16.0,6.0,9.0,68.0,JAN,2018
HRASTNIK,42.0,53.0,107.0,112.0,62.0,118.0,494.0,JAN,2018
HRPELJE-KOZINA,9.0,10.0,47.0,25.0,20.0,46.0,157.0,JAN,2018
IDRIJA,19.0,34.0,55.0,33.0,43.0,69.0,253.0,JAN,2018
IG,18.0,25.0,33.0,36.0,26.0,65.0,203.0,JAN,2018
ILIRSKA BISTRICA,27.0,47.0,91.0,93.0,75.0,134.0,467.0,JAN,2018
IVANČNA GORICA,47.0,52.0,95.0,89.0,71.0,124.0,478.0,JAN,2018
IZOLA,37.0,55.0,147.0,126.0,86.0,210.0,661.0,JAN,2018
JESENICE,51.0,60.0,129.0,107.0,74.0,222.0,643.0,JAN,2018
JEZERSKO,0.0,4.0,5.0,2.0,2.0,2.0,15.0,JAN,2018
JURŠINCI,13.0,8.0,19.0,15.0,10.0,14.0,79.0,JAN,2018
