Kohezijska / Statistična regija,1+2              OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year,"Kohezijska / 
statistična regija","OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
Slovenija,27666.0,23433.0,22082.0,14738.0,87919.0,JAN,2018,,,,,
,,,,,,JAN,2018,,,,,
Vzhodna Slovenija,16823.0,14864.0,12665.0,7820.0,52172.0,JAN,2018,,,,,
Jugovzhodna Slovenija,2725.0,1545.0,1162.0,767.0,6199.0,JAN,2018,,,,,
Koroška,653.0,876.0,687.0,439.0,2655.0,JAN,2018,,,,,
Podravska,4100.0,4367.0,4176.0,2547.0,15190.0,JAN,2018,,,,,
Pomurska,2883.0,2220.0,1517.0,941.0,7561.0,JAN,2018,,,,,
Posavska,1328.0,1095.0,793.0,467.0,3683.0,JAN,2018,,,,,
Primorsko-notranjska,604.0,610.0,519.0,325.0,2058.0,JAN,2018,,,,,
Savinjska,3653.0,3397.0,3161.0,1950.0,12161.0,JAN,2018,,,,,
Zasavska,877.0,754.0,650.0,384.0,2665.0,JAN,2018,,,,,
,,,,,,JAN,2018,,,,,
Zahodna Slovenija,10449.0,8489.0,9363.0,6879.0,35180.0,JAN,2018,,,,,
Gorenjska,1894.0,1421.0,1521.0,1028.0,5864.0,JAN,2018,,,,,
Goriška,1129.0,829.0,901.0,700.0,3559.0,JAN,2018,,,,,
Obalno-kraška,1422.0,1200.0,1177.0,753.0,4552.0,JAN,2018,,,,,
Osrednjeslovenska,6004.0,5039.0,5764.0,4398.0,21205.0,JAN,2018,,,,,
,,,,,,JAN,2018,,,,,
Občina izven RS,394.0,80.0,54.0,39.0,567.0,JAN,2018,,,,,
Slovenija,27010.0,22865.0,21474.0,14334.0,85683.0,FEB,2018,,,,,
,,,,,,FEB,2018,,,,,
Vzhodna Slovenija,16452.0,14486.0,12269.0,7580.0,50787.0,FEB,2018,,,,,
Jugovzhodna Slovenija,2698.0,1489.0,1117.0,720.0,6024.0,FEB,2018,,,,,
Koroška,631.0,854.0,652.0,419.0,2556.0,FEB,2018,,,,,
Podravska,4030.0,4241.0,4050.0,2501.0,14822.0,FEB,2018,,,,,
Pomurska,2807.0,2135.0,1485.0,893.0,7320.0,FEB,2018,,,,,
Posavska,1299.0,1074.0,777.0,468.0,3618.0,FEB,2018,,,,,
Primorsko-notranjska,567.0,592.0,501.0,315.0,1975.0,FEB,2018,,,,,
Savinjska,3569.0,3355.0,3078.0,1891.0,11893.0,FEB,2018,,,,,
Zasavska,851.0,746.0,609.0,373.0,2579.0,FEB,2018,,,,,
,,,,,,FEB,2018,,,,,
Zahodna Slovenija,10178.0,8305.0,9149.0,6713.0,34345.0,FEB,2018,,,,,
Gorenjska,1854.0,1385.0,1480.0,1002.0,5721.0,FEB,2018,,,,,
Goriška,1065.0,831.0,852.0,663.0,3411.0,FEB,2018,,,,,
Obalno-kraška,1350.0,1172.0,1148.0,718.0,4388.0,FEB,2018,,,,,
Osrednjeslovenska,5909.0,4917.0,5669.0,4330.0,20825.0,FEB,2018,,,,,
,,,,,,FEB,2018,,,,,
Občina izven RS,380.0,74.0,56.0,41.0,551.0,FEB,2018,,,,,
Slovenija,25199.0,21439.0,20742.0,13840.0,81220.0,MAR,2018,,,,,
,,,,,,MAR,2018,,,,,
Vzhodna Slovenija,15306.0,13537.0,11852.0,7251.0,47946.0,MAR,2018,,,,,
Jugovzhodna Slovenija,2642.0,1419.0,1080.0,673.0,5814.0,MAR,2018,,,,,
Koroška,607.0,776.0,641.0,390.0,2414.0,MAR,2018,,,,,
Podravska,3733.0,3955.0,3934.0,2425.0,14047.0,MAR,2018,,,,,
Pomurska,2539.0,1924.0,1384.0,848.0,6695.0,MAR,2018,,,,,
Posavska,1189.0,992.0,732.0,423.0,3336.0,MAR,2018,,,,,
Primorsko-notranjska,550.0,538.0,477.0,297.0,1862.0,MAR,2018,,,,,
Savinjska,3238.0,3213.0,3012.0,1842.0,11305.0,MAR,2018,,,,,
Zasavska,808.0,720.0,592.0,353.0,2473.0,MAR,2018,,,,,
,,,,,,MAR,2018,,,,,
Zahodna Slovenija,9577.0,7846.0,8844.0,6548.0,32815.0,MAR,2018,,,,,
Gorenjska,1614.0,1273.0,1414.0,998.0,5299.0,MAR,2018,,,,,
Goriška,1028.0,813.0,818.0,627.0,3286.0,MAR,2018,,,,,
Obalno-kraška,1278.0,1108.0,1094.0,705.0,4185.0,MAR,2018,,,,,
Osrednjeslovenska,5657.0,4652.0,5518.0,4218.0,20045.0,MAR,2018,,,,,
,,,,,,MAR,2018,,,,,
Občina izven RS,316.0,56.0,46.0,41.0,459.0,MAR,2018,,,,,
Slovenija,24191.0,20609.0,20280.0,13475.0,78555.0,APR,2018,,,,,
,,,,,,APR,2018,,,,,
Vzhodna Slovenija,14641.0,12960.0,11545.0,7047.0,46193.0,APR,2018,,,,,
Jugovzhodna Slovenija,2596.0,1375.0,1034.0,634.0,5639.0,APR,2018,,,,,
Koroška,565.0,762.0,641.0,399.0,2367.0,APR,2018,,,,,
Podravska,3560.0,3767.0,3813.0,2342.0,13482.0,APR,2018,,,,,
Pomurska,2413.0,1793.0,1299.0,817.0,6322.0,APR,2018,,,,,
Posavska,1152.0,955.0,732.0,430.0,3269.0,APR,2018,,,,,
Primorsko-notranjska,529.0,513.0,459.0,303.0,1804.0,APR,2018,,,,,
Savinjska,3053.0,3114.0,2989.0,1793.0,10949.0,APR,2018,,,,,
Zasavska,773.0,681.0,578.0,329.0,2361.0,APR,2018,,,,,
,,,,,,APR,2018,,,,,
Zahodna Slovenija,9281.0,7601.0,8697.0,6387.0,31966.0,APR,2018,,,,,
Gorenjska,1512.0,1243.0,1403.0,994.0,5152.0,APR,2018,,,,,
Goriška,992.0,790.0,782.0,595.0,3159.0,APR,2018,,,,,
Obalno-kraška,1217.0,1051.0,1059.0,689.0,4016.0,APR,2018,,,,,
Osrednjeslovenska,5560.0,4517.0,5453.0,4109.0,19639.0,APR,2018,,,,,
,,,,,,APR,2018,,,,,
Občina izven RS,269.0,48.0,38.0,41.0,396.0,APR,2018,,,,,
Slovenija,23749.0,20051.0,19704.0,13201.0,76705.0,MAJ,2018,,,,,
,,,,,,MAJ,2018,,,,,
Vzhodna Slovenija,14352.0,12605.0,11203.0,6895.0,45055.0,MAJ,2018,,,,,
Jugovzhodna Slovenija,2563.0,1362.0,991.0,614.0,5530.0,MAJ,2018,,,,,
Koroška,543.0,748.0,633.0,371.0,2295.0,MAJ,2018,,,,,
Podravska,3477.0,3641.0,3752.0,2306.0,13176.0,MAJ,2018,,,,,
Pomurska,2365.0,1706.0,1217.0,787.0,6075.0,MAJ,2018,,,,,
Posavska,1142.0,936.0,703.0,422.0,3203.0,MAJ,2018,,,,,
Primorsko-notranjska,496.0,492.0,433.0,291.0,1712.0,MAJ,2018,,,,,
Savinjska,2990.0,3054.0,2902.0,1764.0,10710.0,MAJ,2018,,,,,
Zasavska,776.0,666.0,572.0,340.0,2354.0,MAJ,2018,,,,,
,,,,,,MAJ,2018,,,,,
Zahodna Slovenija,9130.0,7404.0,8465.0,6259.0,31258.0,MAJ,2018,,,,,
Gorenjska,1489.0,1199.0,1354.0,978.0,5020.0,MAJ,2018,,,,,
Goriška,978.0,762.0,727.0,584.0,3051.0,MAJ,2018,,,,,
Obalno-kraška,1176.0,1013.0,1035.0,667.0,3891.0,MAJ,2018,,,,,
Osrednjeslovenska,5487.0,4430.0,5349.0,4030.0,19296.0,MAJ,2018,,,,,
,,,,,,MAJ,2018,,,,,
Občina izven RS,267.0,42.0,36.0,47.0,392.0,MAJ,2018,,,,,
Slovenija,23230.0,19600.0,19244.0,12914.0,74988.0,JUN,2018,,,,,
,,,,,,JUN,2018,,,,,
Vzhodna Slovenija,14079.0,12286.0,10924.0,6723.0,44012.0,JUN,2018,,,,,
Jugovzhodna Slovenija,2500.0,1325.0,994.0,598.0,5417.0,JUN,2018,,,,,
Koroška,523.0,734.0,591.0,360.0,2208.0,JUN,2018,,,,,
Podravska,3390.0,3517.0,3662.0,2253.0,12822.0,JUN,2018,,,,,
Pomurska,2312.0,1658.0,1170.0,746.0,5886.0,JUN,2018,,,,,
Posavska,1146.0,916.0,675.0,402.0,3139.0,JUN,2018,,,,,
Primorsko-notranjska,484.0,472.0,415.0,280.0,1651.0,JUN,2018,,,,,
Savinjska,2961.0,3000.0,2864.0,1744.0,10569.0,JUN,2018,,,,,
Zasavska,763.0,664.0,553.0,340.0,2320.0,JUN,2018,,,,,
,,,,,,JUN,2018,,,,,
Zahodna Slovenija,8900.0,7274.0,8283.0,6144.0,30601.0,JUN,2018,,,,,
Gorenjska,1418.0,1174.0,1319.0,968.0,4879.0,JUN,2018,,,,,
Goriška,960.0,745.0,722.0,583.0,3010.0,JUN,2018,,,,,
Obalno-kraška,1126.0,982.0,983.0,638.0,3729.0,JUN,2018,,,,,
Osrednjeslovenska,5396.0,4373.0,5259.0,3955.0,18983.0,JUN,2018,,,,,
,,,,,,JUN,2018,,,,,
Občina izven RS,251.0,40.0,37.0,47.0,375.0,JUN,2018,,,,,
Slovenija,23123.0,19651.0,19481.0,13796.0,76051.0,JUL,2018,,,,,
,,,,,,JUL,2018,,,,,
Vzhodna Slovenija,14044.0,12319.0,11079.0,7219.0,44661.0,JUL,2018,,,,,
Jugovzhodna Slovenija,2490.0,1336.0,1024.0,652.0,5502.0,JUL,2018,,,,,
Koroška,529.0,719.0,593.0,401.0,2242.0,JUL,2018,,,,,
Podravska,3371.0,3541.0,3711.0,2404.0,13027.0,JUL,2018,,,,,
Pomurska,2306.0,1632.0,1194.0,792.0,5924.0,JUL,2018,,,,,
Posavska,1152.0,912.0,698.0,441.0,3203.0,JUL,2018,,,,,
Primorsko-notranjska,477.0,476.0,418.0,293.0,1664.0,JUL,2018,,,,,
Savinjska,2943.0,3020.0,2882.0,1866.0,10711.0,JUL,2018,,,,,
Zasavska,776.0,683.0,559.0,370.0,2388.0,JUL,2018,,,,,
,,,,,,JUL,2018,,,,,
Zahodna Slovenija,8846.0,7288.0,8364.0,6523.0,31021.0,JUL,2018,,,,,
Gorenjska,1400.0,1165.0,1331.0,1038.0,4934.0,JUL,2018,,,,,
Goriška,955.0,739.0,718.0,677.0,3089.0,JUL,2018,,,,,
Obalno-kraška,1128.0,974.0,1002.0,687.0,3791.0,JUL,2018,,,,,
Osrednjeslovenska,5363.0,4410.0,5313.0,4121.0,19207.0,JUL,2018,,,,,
,,,,,,JUL,2018,,,,,
Občina izven RS,233.0,44.0,38.0,54.0,369.0,JUL,2018,,,,,
Slovenija,23009.0,19578.0,19457.0,13876.0,75920.0,AVG,2018,,,,,
,,,,,,AVG,2018,,,,,
Vzhodna Slovenija,13969.0,12290.0,11058.0,7286.0,44603.0,AVG,2018,,,,,
Jugovzhodna Slovenija,2478.0,1350.0,1036.0,672.0,5536.0,AVG,2018,,,,,
Koroška,540.0,718.0,590.0,403.0,2251.0,AVG,2018,,,,,
Podravska,3357.0,3509.0,3681.0,2405.0,12952.0,AVG,2018,,,,,
Pomurska,2284.0,1628.0,1193.0,803.0,5908.0,AVG,2018,,,,,
Posavska,1135.0,931.0,694.0,450.0,3210.0,AVG,2018,,,,,
Primorsko-notranjska,476.0,476.0,429.0,318.0,1699.0,AVG,2018,,,,,
Savinjska,2914.0,2998.0,2877.0,1855.0,10644.0,AVG,2018,,,,,
Zasavska,785.0,680.0,558.0,380.0,2403.0,AVG,2018,,,,,
,,,,,,AVG,2018,,,,,
Zahodna Slovenija,8793.0,7245.0,8356.0,6536.0,30930.0,AVG,2018,,,,,
Gorenjska,1376.0,1135.0,1327.0,1044.0,4882.0,AVG,2018,,,,,
Goriška,937.0,721.0,734.0,680.0,3072.0,AVG,2018,,,,,
Obalno-kraška,1134.0,984.0,1004.0,690.0,3812.0,AVG,2018,,,,,
