Kohezijska / statistična regija,Moški,Ženske,Skupaj,month,year,"Kohezijska /
statistična regija",moški,ženske
Slovenija,44807.0,43112.0,87919.0,JAN,2018,,,
,,,,JAN,2018,,,
Vzhodna Slovenija,25840.0,26332.0,52172.0,JAN,2018,,,
Jugovzhodna Slovenija,3104.0,3095.0,6199.0,JAN,2018,,,
Koroška,1246.0,1409.0,2655.0,JAN,2018,,,
Podravska,7420.0,7770.0,15190.0,JAN,2018,,,
Pomurska,3808.0,3753.0,7561.0,JAN,2018,,,
Posavska,1882.0,1801.0,3683.0,JAN,2018,,,
Primorsko-notranjska,1023.0,1035.0,2058.0,JAN,2018,,,
Savinjska,5965.0,6196.0,12161.0,JAN,2018,,,
Zasavska,1392.0,1273.0,2665.0,JAN,2018,,,
,,,,JAN,2018,,,
Zahodna Slovenija,18607.0,16573.0,35180.0,JAN,2018,,,
Gorenjska,3144.0,2720.0,5864.0,JAN,2018,,,
Goriška,1799.0,1760.0,3559.0,JAN,2018,,,
Obalno-kraška,2338.0,2214.0,4552.0,JAN,2018,,,
Osrednjeslovenska,11326.0,9879.0,21205.0,JAN,2018,,,
,,,,JAN,2018,,,
Občina izven RS,360.0,207.0,567.0,JAN,2018,,,
Slovenija,43539.0,42144.0,85683.0,FEB,2018,,,
,,,,FEB,2018,,,
Vzhodna Slovenija,25061.0,25726.0,50787.0,FEB,2018,,,
Jugovzhodna Slovenija,3009.0,3015.0,6024.0,FEB,2018,,,
Koroška,1201.0,1355.0,2556.0,FEB,2018,,,
Podravska,7211.0,7611.0,14822.0,FEB,2018,,,
Pomurska,3670.0,3650.0,7320.0,FEB,2018,,,
Posavska,1844.0,1774.0,3618.0,FEB,2018,,,
Primorsko-notranjska,977.0,998.0,1975.0,FEB,2018,,,
Savinjska,5790.0,6103.0,11893.0,FEB,2018,,,
Zasavska,1359.0,1220.0,2579.0,FEB,2018,,,
,,,,FEB,2018,,,
Zahodna Slovenija,18130.0,16215.0,34345.0,FEB,2018,,,
Gorenjska,3043.0,2678.0,5721.0,FEB,2018,,,
Goriška,1724.0,1687.0,3411.0,FEB,2018,,,
Obalno-kraška,2228.0,2160.0,4388.0,FEB,2018,,,
Osrednjeslovenska,11135.0,9690.0,20825.0,FEB,2018,,,
,,,,FEB,2018,,,
Občina izven RS,348.0,203.0,551.0,FEB,2018,,,
Slovenija,40245.0,40975.0,81220.0,MAR,2018,,,
,,,,MAR,2018,,,
Vzhodna Slovenija,22956.0,24990.0,47946.0,MAR,2018,,,
Jugovzhodna Slovenija,2864.0,2950.0,5814.0,MAR,2018,,,
Koroška,1107.0,1307.0,2414.0,MAR,2018,,,
Podravska,6620.0,7427.0,14047.0,MAR,2018,,,
Pomurska,3201.0,3494.0,6695.0,MAR,2018,,,
Posavska,1659.0,1677.0,3336.0,MAR,2018,,,
Primorsko-notranjska,912.0,950.0,1862.0,MAR,2018,,,
Savinjska,5318.0,5987.0,11305.0,MAR,2018,,,
Zasavska,1275.0,1198.0,2473.0,MAR,2018,,,
,,,,MAR,2018,,,
Zahodna Slovenija,17026.0,15789.0,32815.0,MAR,2018,,,
Gorenjska,2686.0,2613.0,5299.0,MAR,2018,,,
Goriška,1661.0,1625.0,3286.0,MAR,2018,,,
Obalno-kraška,2138.0,2047.0,4185.0,MAR,2018,,,
Osrednjeslovenska,10541.0,9504.0,20045.0,MAR,2018,,,
,,,,MAR,2018,,,
Občina izven RS,263.0,196.0,459.0,MAR,2018,,,
Slovenija,38381.0,40174.0,78555.0,APR,2018,,,
,,,,APR,2018,,,
Vzhodna Slovenija,21712.0,24481.0,46193.0,APR,2018,,,
Jugovzhodna Slovenija,2769.0,2870.0,5639.0,APR,2018,,,
Koroška,1064.0,1303.0,2367.0,APR,2018,,,
Podravska,6208.0,7274.0,13482.0,APR,2018,,,
Pomurska,2955.0,3367.0,6322.0,APR,2018,,,
Posavska,1593.0,1676.0,3269.0,APR,2018,,,
Primorsko-notranjska,872.0,932.0,1804.0,APR,2018,,,
Savinjska,5039.0,5910.0,10949.0,APR,2018,,,
Zasavska,1212.0,1149.0,2361.0,APR,2018,,,
,,,,APR,2018,,,
Zahodna Slovenija,16462.0,15504.0,31966.0,APR,2018,,,
Gorenjska,2566.0,2586.0,5152.0,APR,2018,,,
Goriška,1601.0,1558.0,3159.0,APR,2018,,,
Obalno-kraška,2048.0,1968.0,4016.0,APR,2018,,,
Osrednjeslovenska,10247.0,9392.0,19639.0,APR,2018,,,
,,,,APR,2018,,,
Občina izven RS,207.0,189.0,396.0,APR,2018,,,
Slovenija,37436.0,39269.0,76705.0,MAJ,2018,,,
,,,,MAJ,2018,,,
Vzhodna Slovenija,21126.0,23929.0,45055.0,MAJ,2018,,,
Jugovzhodna Slovenija,2751.0,2779.0,5530.0,MAJ,2018,,,
Koroška,1029.0,1266.0,2295.0,MAJ,2018,,,
Podravska,6053.0,7123.0,13176.0,MAJ,2018,,,
Pomurska,2832.0,3243.0,6075.0,MAJ,2018,,,
Posavska,1538.0,1665.0,3203.0,MAJ,2018,,,
Primorsko-notranjska,829.0,883.0,1712.0,MAJ,2018,,,
Savinjska,4904.0,5806.0,10710.0,MAJ,2018,,,
Zasavska,1190.0,1164.0,2354.0,MAJ,2018,,,
,,,,MAJ,2018,,,
Zahodna Slovenija,16107.0,15151.0,31258.0,MAJ,2018,,,
Gorenjska,2498.0,2522.0,5020.0,MAJ,2018,,,
Goriška,1552.0,1499.0,3051.0,MAJ,2018,,,
Obalno-kraška,1994.0,1897.0,3891.0,MAJ,2018,,,
Osrednjeslovenska,10063.0,9233.0,19296.0,MAJ,2018,,,
,,,,MAJ,2018,,,
Občina izven RS,203.0,189.0,392.0,MAJ,2018,,,
Slovenija,36557.0,38431.0,74988.0,JUN,2018,,,
,,,,JUN,2018,,,
Vzhodna Slovenija,20595.0,23417.0,44012.0,JUN,2018,,,
Jugovzhodna Slovenija,2689.0,2728.0,5417.0,JUN,2018,,,
Koroška,997.0,1211.0,2208.0,JUN,2018,,,
Podravska,5873.0,6949.0,12822.0,JUN,2018,,,
Pomurska,2734.0,3152.0,5886.0,JUN,2018,,,
Posavska,1505.0,1634.0,3139.0,JUN,2018,,,
Primorsko-notranjska,809.0,842.0,1651.0,JUN,2018,,,
Savinjska,4816.0,5753.0,10569.0,JUN,2018,,,
Zasavska,1172.0,1148.0,2320.0,JUN,2018,,,
,,,,JUN,2018,,,
Zahodna Slovenija,15773.0,14828.0,30601.0,JUN,2018,,,
Gorenjska,2429.0,2450.0,4879.0,JUN,2018,,,
Goriška,1520.0,1490.0,3010.0,JUN,2018,,,
Obalno-kraška,1935.0,1794.0,3729.0,JUN,2018,,,
Osrednjeslovenska,9889.0,9094.0,18983.0,JUN,2018,,,
,,,,JUN,2018,,,
Občina izven RS,189.0,186.0,375.0,JUN,2018,,,
Slovenija,36686.0,39365.0,76051.0,JUL,2018,,,
,,,,JUL,2018,,,
Vzhodna Slovenija,20706.0,23955.0,44661.0,JUL,2018,,,
Jugovzhodna Slovenija,2708.0,2794.0,5502.0,JUL,2018,,,
Koroška,1001.0,1241.0,2242.0,JUL,2018,,,
Podravska,5904.0,7123.0,13027.0,JUL,2018,,,
Pomurska,2722.0,3202.0,5924.0,JUL,2018,,,
Posavska,1521.0,1682.0,3203.0,JUL,2018,,,
Primorsko-notranjska,824.0,840.0,1664.0,JUL,2018,,,
Savinjska,4837.0,5874.0,10711.0,JUL,2018,,,
Zasavska,1189.0,1199.0,2388.0,JUL,2018,,,
,,,,JUL,2018,,,
Zahodna Slovenija,15795.0,15226.0,31021.0,JUL,2018,,,
Gorenjska,2422.0,2512.0,4934.0,JUL,2018,,,
Goriška,1521.0,1568.0,3089.0,JUL,2018,,,
Obalno-kraška,1943.0,1848.0,3791.0,JUL,2018,,,
Osrednjeslovenska,9909.0,9298.0,19207.0,JUL,2018,,,
,,,,JUL,2018,,,
Občina izven RS,185.0,184.0,369.0,JUL,2018,,,
Slovenija,36470.0,39450.0,75920.0,AVG,2018,,,
,,,,AVG,2018,,,
Vzhodna Slovenija,20605.0,23998.0,44603.0,AVG,2018,,,
Jugovzhodna Slovenija,2711.0,2825.0,5536.0,AVG,2018,,,
Koroška,995.0,1256.0,2251.0,AVG,2018,,,
Podravska,5856.0,7096.0,12952.0,AVG,2018,,,
Pomurska,2695.0,3213.0,5908.0,AVG,2018,,,
Posavska,1519.0,1691.0,3210.0,AVG,2018,,,
Primorsko-notranjska,830.0,869.0,1699.0,AVG,2018,,,
Savinjska,4805.0,5839.0,10644.0,AVG,2018,,,
Zasavska,1194.0,1209.0,2403.0,AVG,2018,,,
,,,,AVG,2018,,,
Zahodna Slovenija,15675.0,15255.0,30930.0,AVG,2018,,,
Gorenjska,2396.0,2486.0,4882.0,AVG,2018,,,
Goriška,1500.0,1572.0,3072.0,AVG,2018,,,
Obalno-kraška,1939.0,1873.0,3812.0,AVG,2018,,,
Osrednjeslovenska,9840.0,9324.0,19164.0,AVG,2018,,,
,,,,AVG,2018,,,
Občina izven RS,190.0,197.0,387.0,AVG,2018,,,
Slovenija,35834.0,37947.0,73781.0,SEP,2018,,,
,,,,SEP,2018,,,
Vzhodna Slovenija,20148.0,23023.0,43171.0,SEP,2018,,,
Jugovzhodna Slovenija,2657.0,2680.0,5337.0,SEP,2018,,,
Koroška,954.0,1181.0,2135.0,SEP,2018,,,
Podravska,5745.0,6829.0,12574.0,SEP,2018,,,
Pomurska,2651.0,3068.0,5719.0,SEP,2018,,,
Posavska,1512.0,1659.0,3171.0,SEP,2018,,,
Primorsko-notranjska,799.0,834.0,1633.0,SEP,2018,,,
Savinjska,4692.0,5619.0,10311.0,SEP,2018,,,
Zasavska,1138.0,1153.0,2291.0,SEP,2018,,,
,,,,SEP,2018,,,
Zahodna Slovenija,15506.0,14726.0,30232.0,SEP,2018,,,
Gorenjska,2328.0,2341.0,4669.0,SEP,2018,,,
Goriška,1478.0,1513.0,2991.0,SEP,2018,,,
Obalno-kraška,1932.0,1802.0,3734.0,SEP,2018,,,
Osrednjeslovenska,9768.0,9070.0,18838.0,SEP,2018,,,
,,,,SEP,2018,,,
Občina izven RS,180.0,198.0,378.0,SEP,2018,,,
Slovenija,36956.0,39276.0,76232.0,OKT,2018,,,
,,,,OKT,2018,,,
Vzhodna Slovenija,20791.0,23811.0,44602.0,OKT,2018,,,
Jugovzhodna Slovenija,2673.0,2716.0,5389.0,OKT,2018,,,
Koroška,1036.0,1234.0,2270.0,OKT,2018,,,
Podravska,5968.0,7046.0,13014.0,OKT,2018,,,
Pomurska,2741.0,3213.0,5954.0,OKT,2018,,,
Posavska,1571.0,1736.0,3307.0,OKT,2018,,,
Primorsko-notranjska,811.0,859.0,1670.0,OKT,2018,,,
Savinjska,4811.0,5845.0,10656.0,OKT,2018,,,
Zasavska,1180.0,1162.0,2342.0,OKT,2018,,,
,,,,OKT,2018,,,
Zahodna Slovenija,15989.0,15247.0,31236.0,OKT,2018,,,
Gorenjska,2456.0,2475.0,4931.0,OKT,2018,,,
Goriška,1542.0,1606.0,3148.0,OKT,2018,,,
Obalno-kraška,2030.0,1919.0,3949.0,OKT,2018,,,
Osrednjeslovenska,9961.0,9247.0,19208.0,OKT,2018,,,
,,,,OKT,2018,,,
Občina izven RS,176.0,218.0,394.0,OKT,2018,,,
Slovenija,36956.0,39143.0,76099.0,NOV,2018,,,
,,,,NOV,2018,,,
Vzhodna Slovenija,20757.0,23662.0,44419.0,NOV,2018,,,
Jugovzhodna Slovenija,2665.0,2688.0,5353.0,NOV,2018,,,
Koroška,1032.0,1211.0,2243.0,NOV,2018,,,
Podravska,5985.0,7038.0,13023.0,NOV,2018,,,
Pomurska,2779.0,3214.0,5993.0,NOV,2018,,,
Posavska,1568.0,1730.0,3298.0,NOV,2018,,,
Primorsko-notranjska,796.0,877.0,1673.0,NOV,2018,,,
Savinjska,4759.0,5743.0,10502.0,NOV,2018,,,
Zasavska,1173.0,1161.0,2334.0,NOV,2018,,,
,,,,NOV,2018,,,
Zahodna Slovenija,16005.0,15262.0,31267.0,NOV,2018,,,
Gorenjska,2466.0,2489.0,4955.0,NOV,2018,,,
Goriška,1535.0,1601.0,3136.0,NOV,2018,,,
Obalno-kraška,2087.0,2013.0,4100.0,NOV,2018,,,
Osrednjeslovenska,9917.0,9159.0,19076.0,NOV,2018,,,
,,,,NOV,2018,,,
Občina izven RS,194.0,219.0,413.0,NOV,2018,,,
Slovenija,39476.0,39058.0,78534.0,List1,2018,,,
,,,,List1,2018,,,
Vzhodna Slovenija,22375.0,23641.0,46016.0,List1,2018,,,
Jugovzhodna Slovenija,2727.0,2659.0,5386.0,List1,2018,,,
Koroška,1075.0,1220.0,2295.0,List1,2018,,,
Podravska,6500.0,7057.0,13557.0,List1,2018,,,
Pomurska,3182.0,3224.0,6406.0,List1,2018,,,
Posavska,1738.0,1744.0,3482.0,List1,2018,,,
Primorsko-notranjska,855.0,868.0,1723.0,List1,2018,,,
Savinjska,5103.0,5720.0,10823.0,List1,2018,,,
Zasavska,1195.0,1149.0,2344.0,List1,2018,,,
,,,,List1,2018,,,
Zahodna Slovenija,16777.0,15201.0,31978.0,List1,2018,,,
Gorenjska,2795.0,2472.0,5267.0,List1,2018,,,
Goriška,1562.0,1583.0,3145.0,List1,2018,,,
Obalno-kraška,2142.0,2018.0,4160.0,List1,2018,,,
Osrednjeslovenska,10278.0,9128.0,19406.0,List1,2018,,,
,,,,List1,2018,,,
Občina izven RS,324.0,216.0,540.0,List1,2018,,,
Slovenija,42417.0,40374.0,82791.0,JAN,2019,,,
,,,,JAN,2019,,,
Vzhodna Slovenija,24368.0,24425.0,48793.0,JAN,2019,,,
Jugovzhodna Slovenija,2854.0,2773.0,5627.0,JAN,2019,,,
Koroška,1210.0,1241.0,2451.0,JAN,2019,,,
Podravska,7217.0,7285.0,14502.0,JAN,2019,,,
Pomurska,3531.0,3417.0,6948.0,JAN,2019,,,
Posavska,1819.0,1747.0,3566.0,JAN,2019,,,
Primorsko-notranjska,876.0,903.0,1779.0,JAN,2019,,,
Savinjska,5603.0,5877.0,11480.0,JAN,2019,,,
Zasavska,1258.0,1182.0,2440.0,JAN,2019,,,
,,,,JAN,2019,,,
Zahodna Slovenija,17587.0,15722.0,33309.0,JAN,2019,,,
Gorenjska,2957.0,2548.0,5505.0,JAN,2019,,,
Goriška,1637.0,1623.0,3260.0,JAN,2019,,,
Obalno-kraška,2297.0,2202.0,4499.0,JAN,2019,,,
Osrednjeslovenska,10696.0,9349.0,20045.0,JAN,2019,,,
,,,,JAN,2019,,,
Občina izven RS,462.0,227.0,689.0,JAN,2019,,,
Slovenija,41074.0,39681.0,80755.0,FEB,2019,,,
,,,,FEB,2019,,,
Vzhodna Slovenija,23569.0,24051.0,47620.0,FEB,2019,,,
Jugovzhodna Slovenija,2759.0,2703.0,5462.0,FEB,2019,,,
Koroška,1183.0,1223.0,2406.0,FEB,2019,,,
Podravska,7002.0,7117.0,14119.0,FEB,2019,,,
Pomurska,3337.0,3339.0,6676.0,FEB,2019,,,
Posavska,1709.0,1707.0,3416.0,FEB,2019,,,
Primorsko-notranjska,845.0,880.0,1725.0,FEB,2019,,,
Savinjska,5482.0,5924.0,11406.0,FEB,2019,,,
Zasavska,1252.0,1158.0,2410.0,FEB,2019,,,
,,,,FEB,2019,,,
Zahodna Slovenija,17070.0,15406.0,32476.0,FEB,2019,,,
Gorenjska,2839.0,2538.0,5377.0,FEB,2019,,,
Goriška,1555.0,1584.0,3139.0,FEB,2019,,,
Obalno-kraška,2263.0,2138.0,4401.0,FEB,2019,,,
Osrednjeslovenska,10413.0,9146.0,19559.0,FEB,2019,,,
,,,,FEB,2019,,,
Občina izven RS,435.0,224.0,659.0,FEB,2019,,,
Slovenija,37919.0,38614.0,76533.0,MAR,2019,,,
,,,,MAR,2019,,,
Vzhodna Slovenija,21529.0,23310.0,44839.0,MAR,2019,,,
Jugovzhodna Slovenija,2599.0,2630.0,5229.0,MAR,2019,,,
Koroška,1104.0,1223.0,2327.0,MAR,2019,,,
Podravska,6342.0,6873.0,13215.0,MAR,2019,,,
Pomurska,2918.0,3177.0,6095.0,MAR,2019,,,
Posavska,1612.0,1649.0,3261.0,MAR,2019,,,
Primorsko-notranjska,789.0,859.0,1648.0,MAR,2019,,,
Savinjska,4976.0,5768.0,10744.0,MAR,2019,,,
Zasavska,1189.0,1131.0,2320.0,MAR,2019,,,
,,,,MAR,2019,,,
Zahodna Slovenija,16067.0,15070.0,31137.0,MAR,2019,,,
Gorenjska,2548.0,2507.0,5055.0,MAR,2019,,,
Goriška,1481.0,1555.0,3036.0,MAR,2019,,,
Obalno-kraška,2123.0,2005.0,4128.0,MAR,2019,,,
Osrednjeslovenska,9915.0,9003.0,18918.0,MAR,2019,,,
,,,,MAR,2019,,,
Občina izven RS,323.0,234.0,557.0,MAR,2019,,,
Slovenija,36281.0,37684.0,73965.0,APR,2019,,,
,,,,APR,2019,,,
Vzhodna Slovenija,20511.0,22766.0,43277.0,APR,2019,,,
Jugovzhodna Slovenija,2493.0,2572.0,5065.0,APR,2019,,,
Koroška,1050.0,1204.0,2254.0,APR,2019,,,
Podravska,6020.0,6748.0,12768.0,APR,2019,,,
Pomurska,2714.0,3044.0,5758.0,APR,2019,,,
Posavska,1529.0,1592.0,3121.0,APR,2019,,,
Primorsko-notranjska,750.0,811.0,1561.0,APR,2019,,,
Savinjska,4807.0,5648.0,10455.0,APR,2019,,,
Zasavska,1148.0,1147.0,2295.0,APR,2019,,,
,,,,APR,2019,,,
Zahodna Slovenija,15481.0,14689.0,30170.0,APR,2019,,,
Gorenjska,2416.0,2442.0,4858.0,APR,2019,,,
Goriška,1425.0,1500.0,2925.0,APR,2019,,,
Obalno-kraška,2023.0,1880.0,3903.0,APR,2019,,,
Osrednjeslovenska,9617.0,8867.0,18484.0,APR,2019,,,
,,,,APR,2019,,,
Občina izven RS,289.0,229.0,518.0,APR,2019,,,
Slovenija,35298.0,36714.0,72012.0,MAJ,2019,,,
,,,,MAJ,2019,,,
Vzhodna Slovenija,19925.0,22183.0,42108.0,MAJ,2019,,,
Jugovzhodna Slovenija,2443.0,2491.0,4934.0,MAJ,2019,,,
Koroška,1028.0,1197.0,2225.0,MAJ,2019,,,
Podravska,5826.0,6562.0,12388.0,MAJ,2019,,,
Pomurska,2632.0,2980.0,5612.0,MAJ,2019,,,
Posavska,1488.0,1557.0,3045.0,MAJ,2019,,,
Primorsko-notranjska,737.0,782.0,1519.0,MAJ,2019,,,
Savinjska,4651.0,5488.0,10139.0,MAJ,2019,,,
Zasavska,1120.0,1126.0,2246.0,MAJ,2019,,,
,,,,MAJ,2019,,,
Zahodna Slovenija,15121.0,14312.0,29433.0,MAJ,2019,,,
Gorenjska,2325.0,2356.0,4681.0,MAJ,2019,,,
Goriška,1381.0,1448.0,2829.0,MAJ,2019,,,
Obalno-kraška,1942.0,1780.0,3722.0,MAJ,2019,,,
Osrednjeslovenska,9473.0,8728.0,18201.0,MAJ,2019,,,
,,,,MAJ,2019,,,
Občina izven RS,252.0,219.0,471.0,MAJ,2019,,,
Slovenija,34641.0,36106.0,70747.0,JUN,2019,,,
,,,,JUN,2019,,,
Vzhodna Slovenija,19560.0,21842.0,41402.0,JUN,2019,,,
Jugovzhodna Slovenija,2414.0,2469.0,4883.0,JUN,2019,,,
Koroška,1014.0,1163.0,2177.0,JUN,2019,,,
