Kohezijska / statistična regija,Do 2 meseca,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,"12 do 23
 mesecev","24 do 35
 mesecev",36 mesecev ali več,Skupaj,month,year,"Kohezijska /
statistična regija","do 2
mes.","3-5
mes.","6-8
mes.","9-11
mes.","12-23
mes.","24-35
mes.","36 mes.
ali več"
Slovenija,21974.0,11742.0,6073.0,4469.0,14511.0,6810.0,22340.0,87919.0,JAN,2018,,,,,,,,
,,,,,,,,,JAN,2018,,,,,,,,
Vzhodna Slovenija,13167.0,6813.0,3440.0,2571.0,8565.0,4157.0,13459.0,52172.0,JAN,2018,,,,,,,,
Jugovzhodna Slovenija,1265.0,718.0,413.0,252.0,878.0,506.0,2167.0,6199.0,JAN,2018,,,,,,,,
Koroška,753.0,408.0,156.0,109.0,416.0,200.0,613.0,2655.0,JAN,2018,,,,,,,,
Podravska,4103.0,2193.0,1125.0,857.0,2683.0,1273.0,2956.0,15190.0,JAN,2018,,,,,,,,
Pomurska,2045.0,824.0,414.0,310.0,1081.0,553.0,2334.0,7561.0,JAN,2018,,,,,,,,
Posavska,810.0,424.0,233.0,154.0,580.0,285.0,1197.0,3683.0,JAN,2018,,,,,,,,
Primorsko-notranjska,559.0,274.0,141.0,87.0,349.0,149.0,499.0,2058.0,JAN,2018,,,,,,,,
Savinjska,3057.0,1613.0,768.0,649.0,2117.0,936.0,3021.0,12161.0,JAN,2018,,,,,,,,
Zasavska,575.0,359.0,190.0,153.0,461.0,255.0,672.0,2665.0,JAN,2018,,,,,,,,
,,,,,,,,,JAN,2018,,,,,,,,
Zahodna Slovenija,8486.0,4834.0,2599.0,1862.0,5898.0,2641.0,8860.0,35180.0,JAN,2018,,,,,,,,
Gorenjska,1854.0,874.0,450.0,345.0,945.0,391.0,1005.0,5864.0,JAN,2018,,,,,,,,
Goriška,890.0,547.0,298.0,214.0,639.0,229.0,742.0,3559.0,JAN,2018,,,,,,,,
