Urad za delo,Moški,Ženske,Skupaj,month,year,moški,ženske
OS Celje,4717.0,4761.0,9478.0,JAN,2018,,
UD Celje,1634.0,1667.0,3301.0,JAN,2018,,
UD Laško,363.0,340.0,703.0,JAN,2018,,
UD Slovenske Konjice,649.0,666.0,1315.0,JAN,2018,,
UD Šentjur,426.0,421.0,847.0,JAN,2018,,
UD Šmarje pri Jelšah,715.0,767.0,1482.0,JAN,2018,,
UD Žalec,930.0,900.0,1830.0,JAN,2018,,
OS Koper,2973.0,2940.0,5913.0,JAN,2018,,
UD Ilirska Bistrica,223.0,235.0,458.0,JAN,2018,,
UD Izola,289.0,332.0,621.0,JAN,2018,,
UD Koper,1083.0,1100.0,2183.0,JAN,2018,,
UD Piran,473.0,443.0,916.0,JAN,2018,,
UD Postojna,427.0,451.0,878.0,JAN,2018,,
UD Sežana,478.0,379.0,857.0,JAN,2018,,
OS Kranj,3102.0,2653.0,5755.0,JAN,2018,,
UD Jesenice,478.0,335.0,813.0,JAN,2018,,
UD Kranj,1405.0,1244.0,2649.0,JAN,2018,,
UD Radovljica,500.0,405.0,905.0,JAN,2018,,
UD Škofja Loka,463.0,429.0,892.0,JAN,2018,,
UD Tržič,256.0,240.0,496.0,JAN,2018,,
OS Ljubljana,13133.0,11714.0,24847.0,JAN,2018,,
UD Cerknica,339.0,313.0,652.0,JAN,2018,,
UD Domžale,925.0,816.0,1741.0,JAN,2018,,
UD Grosuplje,733.0,639.0,1372.0,JAN,2018,,
UD Kamnik,563.0,500.0,1063.0,JAN,2018,,
UD Kočevje,612.0,696.0,1308.0,JAN,2018,,
UD Ljubljana,9058.0,7850.0,16908.0,JAN,2018,,
UD Logatec,190.0,233.0,423.0,JAN,2018,,
UD Ribnica,222.0,208.0,430.0,JAN,2018,,
UD Vrhnika,491.0,459.0,950.0,JAN,2018,,
OS Maribor,5929.0,6060.0,11989.0,JAN,2018,,
UD Lenart,286.0,269.0,555.0,JAN,2018,,
UD Maribor,4301.0,4328.0,8629.0,JAN,2018,,
UD Pesnica,393.0,430.0,823.0,JAN,2018,,
UD Ruše,327.0,315.0,642.0,JAN,2018,,
UD Slovenska Bistrica,622.0,718.0,1340.0,JAN,2018,,
OS Murska Sobota,3797.0,3728.0,7525.0,JAN,2018,,
UD Gornja Radgona,596.0,576.0,1172.0,JAN,2018,,
UD Lendava,819.0,812.0,1631.0,JAN,2018,,
UD Ljutomer,466.0,478.0,944.0,JAN,2018,,
UD Murska Sobota,1916.0,1862.0,3778.0,JAN,2018,,
OS Nova Gorica,1754.0,1721.0,3475.0,JAN,2018,,
UD Ajdovščina,411.0,454.0,865.0,JAN,2018,,
UD Idrija,181.0,128.0,309.0,JAN,2018,,
UD Nova Gorica,905.0,942.0,1847.0,JAN,2018,,
UD Tolmin,257.0,197.0,454.0,JAN,2018,,
OS Novo mesto,2150.0,2039.0,4189.0,JAN,2018,,
UD Črnomelj,516.0,521.0,1037.0,JAN,2018,,
UD Metlika,259.0,205.0,464.0,JAN,2018,,
UD Novo mesto,1039.0,1013.0,2052.0,JAN,2018,,
UD Trebnje,336.0,300.0,636.0,JAN,2018,,
OS Ptuj,1525.0,1716.0,3241.0,JAN,2018,,
UD Ormož,387.0,428.0,815.0,JAN,2018,,
UD Ptuj,1138.0,1288.0,2426.0,JAN,2018,,
OS Sevnica,1798.0,1701.0,3499.0,JAN,2018,,
UD Brežice,606.0,556.0,1162.0,JAN,2018,,
UD Krško,864.0,790.0,1654.0,JAN,2018,,
UD Sevnica,328.0,355.0,683.0,JAN,2018,,
OS Trbovlje,1406.0,1284.0,2690.0,JAN,2018,,
UD Hrastnik,234.0,228.0,462.0,JAN,2018,,
UD Litija,300.0,302.0,602.0,JAN,2018,,
UD Trbovlje,530.0,462.0,992.0,JAN,2018,,
UD Zagorje,342.0,292.0,634.0,JAN,2018,,
OS Velenje,2523.0,2795.0,5318.0,JAN,2018,,
UD Dravograd,169.0,168.0,337.0,JAN,2018,,
UD Mozirje,293.0,343.0,636.0,JAN,2018,,
UD Radlje ob Dravi,318.0,349.0,667.0,JAN,2018,,
