Kohezijska / statistična regija,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 let ali več,Skupaj,month,year
Slovenija,7155.0,10017.0,19253.0,17040.0,11123.0,23331.0,87919.0,JAN,2018
,,,,,,,,JAN,2018
Vzhodna Slovenija,4895.0,6094.0,11008.0,10017.0,6851.0,13307.0,52172.0,JAN,2018
Jugovzhodna Slovenija,712.0,742.0,1331.0,1109.0,737.0,1568.0,6199.0,JAN,2018
Koroška,248.0,331.0,574.0,522.0,371.0,609.0,2655.0,JAN,2018
Podravska,1479.0,1881.0,3284.0,2983.0,1899.0,3664.0,15190.0,JAN,2018
Pomurska,757.0,743.0,1388.0,1478.0,1108.0,2087.0,7561.0,JAN,2018
Posavska,333.0,416.0,704.0,709.0,532.0,989.0,3683.0,JAN,2018
Primorsko-notranjska,134.0,218.0,423.0,385.0,272.0,626.0,2058.0,JAN,2018
Savinjska,995.0,1460.0,2692.0,2326.0,1566.0,3122.0,12161.0,JAN,2018
Zasavska,237.0,303.0,612.0,505.0,366.0,642.0,2665.0,JAN,2018
,,,,,,,,JAN,2018
Zahodna Slovenija,2216.0,3820.0,8062.0,6913.0,4226.0,9943.0,35180.0,JAN,2018
Gorenjska,435.0,627.0,1186.0,1040.0,667.0,1909.0,5864.0,JAN,2018
Goriška,239.0,418.0,800.0,639.0,424.0,1039.0,3559.0,JAN,2018
Obalno-kraška,251.0,429.0,1036.0,918.0,586.0,1332.0,4552.0,JAN,2018
Osrednjeslovenska,1291.0,2346.0,5040.0,4316.0,2549.0,5663.0,21205.0,JAN,2018
,,,,,,,,JAN,2018
Občina izven RS,44.0,103.0,183.0,110.0,46.0,81.0,567.0,JAN,2018
Slovenija,6801.0,9643.0,18728.0,16512.0,10860.0,23139.0,85683.0,FEB,2018
,,,,,,,,FEB,2018
Vzhodna Slovenija,4677.0,5876.0,10670.0,9677.0,6674.0,13213.0,50787.0,FEB,2018
Jugovzhodna Slovenija,703.0,722.0,1287.0,1060.0,714.0,1538.0,6024.0,FEB,2018
Koroška,229.0,313.0,547.0,504.0,356.0,607.0,2556.0,FEB,2018
Podravska,1393.0,1849.0,3193.0,2883.0,1856.0,3648.0,14822.0,FEB,2018
Pomurska,725.0,713.0,1342.0,1414.0,1079.0,2047.0,7320.0,FEB,2018
Posavska,324.0,395.0,708.0,677.0,519.0,995.0,3618.0,FEB,2018
Primorsko-notranjska,129.0,205.0,396.0,366.0,266.0,613.0,1975.0,FEB,2018
Savinjska,960.0,1383.0,2601.0,2293.0,1533.0,3123.0,11893.0,FEB,2018
Zasavska,214.0,296.0,596.0,480.0,351.0,642.0,2579.0,FEB,2018
