Urad za delo,1+2 - OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year
OS Celje,2906.0,2745.0,2378.0,1449.0,9478.0,JAN,2018
UD Celje,934.0,907.0,864.0,596.0,3301.0,JAN,2018
UD Laško,196.0,210.0,208.0,89.0,703.0,JAN,2018
UD Slovenske Konjice,433.0,423.0,280.0,179.0,1315.0,JAN,2018
UD Šentjur,237.0,265.0,223.0,122.0,847.0,JAN,2018
UD Šmarje pri Jelšah,515.0,463.0,329.0,175.0,1482.0,JAN,2018
UD Žalec,591.0,477.0,474.0,288.0,1830.0,JAN,2018
OS Koper,1885.0,1599.0,1515.0,914.0,5913.0,JAN,2018
UD Ilirska Bistrica,146.0,141.0,103.0,68.0,458.0,JAN,2018
UD Izola,220.0,176.0,145.0,80.0,621.0,JAN,2018
UD Koper,684.0,548.0,605.0,346.0,2183.0,JAN,2018
UD Piran,272.0,239.0,248.0,157.0,916.0,JAN,2018
UD Postojna,298.0,248.0,213.0,119.0,878.0,JAN,2018
UD Sežana,265.0,247.0,201.0,144.0,857.0,JAN,2018
OS Kranj,1891.0,1426.0,1476.0,962.0,5755.0,JAN,2018
UD Jesenice,261.0,270.0,188.0,94.0,813.0,JAN,2018
UD Kranj,959.0,532.0,675.0,483.0,2649.0,JAN,2018
UD Radovljica,202.0,250.0,277.0,176.0,905.0,JAN,2018
UD Škofja Loka,262.0,233.0,237.0,160.0,892.0,JAN,2018
UD Tržič,207.0,141.0,99.0,49.0,496.0,JAN,2018
OS Ljubljana,7094.0,5891.0,6668.0,5194.0,24847.0,JAN,2018
UD Cerknica,152.0,216.0,182.0,102.0,652.0,JAN,2018
UD Domžale,494.0,436.0,465.0,346.0,1741.0,JAN,2018
UD Grosuplje,494.0,358.0,313.0,207.0,1372.0,JAN,2018
UD Kamnik,320.0,272.0,299.0,172.0,1063.0,JAN,2018
UD Kočevje,604.0,421.0,204.0,79.0,1308.0,JAN,2018
UD Ljubljana,4497.0,3663.0,4758.0,3990.0,16908.0,JAN,2018
UD Logatec,134.0,115.0,104.0,70.0,423.0,JAN,2018
UD Ribnica,141.0,133.0,99.0,57.0,430.0,JAN,2018
UD Vrhnika,258.0,277.0,244.0,171.0,950.0,JAN,2018
OS Maribor,3371.0,3279.0,3234.0,2105.0,11989.0,JAN,2018
UD Lenart,154.0,199.0,128.0,74.0,555.0,JAN,2018
