,Občina,Basic or less,Upper secondary,Tertiary,Najvišja stopnja zaposlenosti
0,AJDOVŠČINA,0.8732261116367077,0.9570211923153099,0.9714635140644109,Tertiary
1,ANKARAN,0.7739130434782608,0.9190647482014388,0.9713656387665198,Tertiary
2,APAČE,0.6153846153846154,0.898876404494382,0.9115646258503401,Tertiary
3,BELTINCI,0.6549019607843137,0.8767395626242545,0.9328165374677002,Tertiary
4,BENEDIKT,0.8604651162790697,0.9278688524590164,0.96,Tertiary
5,BISTRICA OB SOTLI,0.6415094339622641,0.8950276243093923,0.9166666666666666,Tertiary
6,BLED,0.8672566371681416,0.9551912568306011,0.9740932642487047,Tertiary
7,BLOKE,0.875,0.9351851851851852,0.9324324324324325,Upper secondary
8,BOHINJ,0.8793103448275862,0.9670932358318098,0.955,Upper secondary
9,BOROVNICA,0.8354430379746836,0.9136807817589576,0.9352226720647774,Tertiary
10,BOVEC,0.9473684210526315,0.9655629139072848,0.9728395061728395,Tertiary
11,BRASLOVČE,0.7746478873239436,0.9125,0.9072681704260651,Upper secondary
12,BRDA,0.9084507042253521,0.9546632124352331,0.9483695652173914,Upper secondary
13,BREZOVICA,0.840625,0.9393592677345538,0.9575944487278335,Tertiary
14,BREŽICE,0.7483811285846439,0.9054559779397282,0.9551004332414337,Tertiary
15,CANKOVA,0.631578947368421,0.8388429752066116,0.9012345679012346,Tertiary
16,CELJE,0.8644444444444445,0.955140494057074,0.9728351721832164,Tertiary
17,CERKLJE NA GORENJSKEM,0.9262472885032538,0.9794050343249427,0.9835948644793152,Tertiary
18,CERKNICA,0.8895705521472392,0.9516569200779728,0.9636363636363636,Tertiary
19,CERKNO,0.9608433734939759,0.9727891156462585,0.9572368421052632,Upper secondary
20,CERKVENJAK,0.7714285714285715,0.9127272727272727,0.9454545454545454,Tertiary
21,CIRKULANE,0.5882352941176471,0.8929663608562691,0.9489795918367347,Tertiary
22,DESTRNIK,0.711864406779661,0.7831858407079646,0.9306930693069307,Tertiary
23,DIVAČA,0.8098591549295775,0.9314024390243902,0.9483870967741935,Tertiary
24,DOBJE,0.8,0.918918918918919,0.9375,Tertiary
25,DOBREPOLJE,0.8333333333333334,0.9479606188466948,0.9626168224299065,Tertiary
26,DOBRNA,0.7419354838709677,0.9480812641083521,0.9789915966386554,Tertiary
27,DOBROVA - POLHOV GRADEC,0.87,0.9277942631058358,0.9521072796934866,Tertiary
28,DOBROVNIK,0.5365853658536586,0.8208092485549133,0.972972972972973,Tertiary
29,DOL PRI LJUBLJANI,0.85625,0.9514747859181731,0.9705188679245284,Tertiary
30,DOLENJSKE TOPLICE,0.7183098591549296,0.9452332657200812,0.9291666666666667,Upper secondary
31,DOMŽALE,0.8554292929292929,0.9477562837215423,0.9562907510263221,Tertiary
32,DORNAVA,0.8571428571428571,0.9420289855072463,0.9666666666666667,Tertiary
33,DRAVOGRAD,0.8339100346020761,0.9397333333333333,0.9588528678304239,Tertiary
34,DUPLEK,0.6266666666666667,0.8512396694214877,0.9111842105263158,Tertiary
35,GORENJA VAS - POLJANE,0.8990825688073395,0.964200477326969,0.9797979797979798,Tertiary
36,GORIŠNICA,0.8932038834951457,0.9249658935879945,0.9448818897637795,Tertiary
37,GORJE,0.813953488372093,0.9017341040462428,0.9393939393939394,Tertiary
38,GORNJA RADGONA,0.874296435272045,0.9613028055465979,0.97339593114241,Tertiary
39,GORNJI GRAD,0.9175257731958762,0.9051490514905149,0.9632352941176471,Tertiary
40,GORNJI PETROVCI,0.8473282442748091,0.8878504672897196,0.9,Tertiary
41,GRAD,0.6078431372549019,0.9006622516556292,0.881578947368421,Upper secondary
42,GROSUPLJE,0.8035714285714286,0.9636502774057777,0.9735381988903116,Tertiary
43,HAJDINA,0.7848101265822784,0.9441805225653207,0.9581589958158996,Tertiary
44,HORJUL,0.9416666666666667,0.9672774869109948,0.9646017699115044,Upper secondary
45,HOČE - SLIVNICA,0.8157894736842105,0.9521218715995647,0.9565868263473054,Tertiary
46,HRASTNIK,0.7384259259259259,0.9036144578313253,0.9403202328966521,Tertiary
47,HRPELJE - KOZINA,0.8796680497925311,0.9577464788732394,0.9692671394799054,Tertiary
48,IDRIJA,0.9395604395604396,0.9755434782608695,0.9840595111583422,Tertiary
49,IG,0.8,0.9388753056234719,0.9738461538461538,Tertiary
50,ILIRSKA BISTRICA,0.8427518427518428,0.9440941572089113,0.9605133267522211,Tertiary
51,IVANČNA GORICA,0.8667820069204152,0.9613369917685208,0.9718925671455341,Tertiary
52,IZOLA,0.8814949863263446,0.9332288401253919,0.975417439703154,Tertiary
53,JESENICE,0.832408435072142,0.9566007725516928,0.981941309255079,Tertiary
54,JEZERSKO,0.9166666666666666,0.9479166666666666,0.9772727272727273,Tertiary
55,JURŠINCI,0.7794117647058824,0.8316326530612245,0.9444444444444444,Tertiary
56,KAMNIK,0.8908730158730159,0.9411659832412195,0.9666786098172698,Tertiary
